[0.16, 0.011]
[0.229, 0.021]
[0.271, 0.062]
[0.205, 0.068]
[0.159, 0.068]
[0.11, 0.085]
[0.11, 0.085]
[0.125, 0.025]
[0.125, 0.075]
[0.175, 0.075]
[0.11, 0.037]
[0.075, 0.025]
[0.11, 0.037]
[0.11, 0.037]
[0.125, 0.075]
[0.125, 0.025]
[0.141, 0.064]
[0.125, 0.025]
[0.125, -0.025]
[0.141, 0.013]
[0.175, -0.025]
[0.159, 0.037]
[0.125, 0.025]
[0.175, 0.025]
[0.125, 0.025]
[0.141, 0.013]
[0.175, 0.075]
[0.105, 0.053]
[0.105, 0.053]
[0.139, 0.083]
[0.075, 0.125]
[0.075, 0.075]
[0.09, 0.064]
[0.141, 0.064]
[0.192, 0.013]
[0.192, 0.013]
[0.141, 0.013]
[0.125, 0.025]
[0.175, 0.075]
[0.125, 0.075]
[0.125, 0.075]
[0.141, 0.064]
[0.141, 0.013]
[0.141, 0.013]
[0.175, -0.025]
[0.175, 0.025]
[0.141, 0.013]
[0.175, 0.025]
[0.141, 0.013]
[0.192, 0.013]
[0.141, 0.013]
[0.141, 0.013]
[0.175, 0.025]
[0.125, 0.025]
[0.141, 0.013]
[0.158, 0.0]
[0.175, 0.025]
[0.141, 0.013]
[0.141, 0.013]
[0.105, 0.053]
[0.09, 0.064]
