[0.224, -0.017]
[0.2, -0.067]
[0.113, -0.048]
[0.133, 0.0]
[0.122, -0.014]
[0.141, 0.064]
[0.159, -0.012]
[0.143, 0.095]
[0.128, 0.058]
[0.128, 0.105]
[0.068, 0.023]
[0.068, 0.023]
[0.221, -0.035]
[0.221, 0.012]
[0.221, 0.012]
[0.221, 0.012]
[0.221, 0.058]
[0.159, 0.023]
[0.174, 0.012]
[0.159, -0.012]
[0.207, -0.012]
[0.225, -0.025]
[0.19, 0.0]
[0.207, -0.012]
[0.207, -0.061]
[0.207, 0.037]
[0.207, 0.037]
[0.192, 0.013]
[0.192, 0.013]
[0.083, 0.028]
[0.0, 0.0]
[-0.068, -0.205]
[-0.078, 0.033]
[-0.033, 0.033]
[-0.011, 0.053]
[0.062, 0.062]
[0.062, -0.021]
[-0.031, -0.01]
[0.051, 0.031]
[-0.04, 0.0]
[-0.031, 0.031]
[0.0, 0.0]
[-0.01, 0.01]
[0.029, 0.049]
[0.08, 0.0]
[-0.01, 0.049]
[0.096, 0.019]
[-0.01, 0.049]
[0.058, 0.058]
[0.009, 0.066]
[-0.04, 0.12]
[0.047, 0.142]
[0.085, 0.066]
[-0.01, 0.049]
[0.029, 0.049]
[0.047, 0.066]
[0.029, 0.049]
[0.009, 0.028]
[-0.019, 0.096]
[-0.058, 0.096]
[0.069, 0.088]
[-0.049, 0.127]
[-0.04, 0.12]
[-0.031, 0.071]
[-0.031, 0.112]
[-0.071, 0.071]
[-0.031, 0.112]
[-0.031, 0.031]
[-0.021, 0.104]
[-0.062, 0.062]
[-0.053, 0.096]
[-0.021, 0.104]
[0.0, 0.043]
[-0.043, 0.087]
[0.0, 0.0]
[0.0, 0.13]
[0.011, 0.078]
[0.056, 0.033]
[0.056, 0.078]
[-0.033, 0.033]
[0.023, 0.068]
[0.023, 0.068]
[0.011, 0.078]
[0.035, 0.058]
[0.056, 0.078]
[0.023, 0.023]
[0.023, 0.023]
[0.023, 0.068]
[0.023, 0.068]
[0.1, 0.033]
[0.128, 0.058]
[0.144, 0.033]
[0.056, 0.033]
[0.056, 0.033]
[0.023, 0.023]
[-0.023, 0.023]
[-0.033, 0.033]
[-0.023, 0.023]
[0.056, 0.033]
[0.011, 0.078]
[0.068, 0.068]
[0.056, 0.033]
[0.1, 0.033]
[0.056, 0.033]
[0.068, 0.023]
[0.144, 0.033]
[0.087, 0.087]
[0.056, 0.033]
[0.144, 0.033]
[0.1, 0.078]
[0.056, 0.033]
[0.068, 0.114]
[0.144, 0.033]
[0.144, 0.033]
